days,US,CN,JP,DE,IN,FR,UK,BR,IT,CA
96.00 ,,4.01 ,4.66 ,,,19.56 ,,,,
97.00 ,,5.54 ,4.71 ,,,19.57 ,,,,
98.00 ,,5.53 ,4.73 ,,,19.57 ,,,,
99.00 ,,5.53 ,4.82 ,,,19.57 ,,,,
100.00 ,,5.53 ,4.89 ,,,19.57 ,,,,
101.00 ,,5.53 ,4.95 ,,,,,,,
102.00 ,,5.53 ,5.01 ,,,,,,,
103.00 ,,5.53 ,,,,,,,,
104.00 ,,5.53 ,,,,,,,,
105.00 ,,5.53 ,,,,,,,,
106.00 ,,5.53 ,,,,,,,,
107.00 ,,5.53 ,,,,,,,,
108.00 ,,5.52 ,,,,,,,,
109.00 ,,5.52 ,,,,,,,,
110.00 ,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
,,5.52 ,,,,,,,,
